date,type,registration,operator,fat.,location,,pic,cat,
22775,Douglas C-47 (DC-3),,Burmese AF,29,near Mong-Hpayak,,,A1,Myanmar
22777,Antonov An-2R,CCCP-49262,"Aeroflot, Magadan",,near Magadan,,,A1,Russia
22777,Lockheed SP-2H Neptune,200,Dutch Navy,0,Biak-Boroeko...,,,A1,Indonesia
22778,PBV-1A Canso (PBY-5A),CF-IHA,"Eastern Provincial Airways, op.for Greenlandair",15,Godthåb/Nuuk...,,,A1,Greenland
22780,Convair T-29C (CV-240),53-3485,USAF,9,near Villa Pedro ...,,,A1,Mexico
22781,Douglas DC-3,SU-AJM,UAA,3,near Cairo Intern...,,,A1,Egypt
22781,Avro Shackleton MR.1,VP294,RAF,0,Gan/Seenu Ai...,,,A1,Maldives
22783,Lockheed C-130A Hercules,56-0546,USAF,13,near Nairobi-Emba...,,,A1,Kenya
22783,Blackburn Beverley C.1,XL132,RAF,2,Chichester H...,,,A1,U.K.
22783,Douglas C-47A (DC-3),T-440,Indonesian AF,0,"near Kaimana, Wes...",,,C1,Indonesia
22787,Curtiss C-46D,HR-196P,Honduras Int.,0+ 3,San Pedro Sula,,,A1,Honduras
22788,Boeing 707-124,N70775,Continental Air Lines,45,"near Unionville, MO",,,C1,USA
22788,Lockheed EC-121M Super Constellatio,131390,US Navy,26,near Markt Schwaben,,,A1,Germany
22789,Nord 2501 Noratlas,62,French AF,,Algiers,,,C1,Algeria
22790,Douglas C-47A (DC-3),VT-AYG,Darbhanga Aviation,4,"near Talenda, Raj...",,,A1,Bangladesh
22790,Douglas C-124A Globemaster II,51-147,USAF,7,near Tachikawa Ai...,,,A1,Japan
22791,Morane Saulnier C-41 (MS.760 Paris),2930,Brazilian AF,,"Natal, RN",,,A1,Brazil
22793,Douglas C-133A Cargomaster,57-1611,USAF,6,"near Dover AFB, D...",,,A1,Atlantic Ocean
22797,Antonov An-2T,CCCP-04270,"Aeroflot, Krasnoyarsk",,,,,A1,?
22799,U-1A Otter (DHC-3),,US Army,1,California,,,A1,USA
22800,Boeing 707-328,F-BHSM,Air France,130,Paris-Orly A...,,,A1,France
22801,Tupolev Tu-104B,CCCP-42491,"Aeroflot, Moscow",5,near Sofia-Vrazhd...,,,A1,Bulgaria
22804,Curtiss C-46A,HR-SAL,SAHSA,0,Tegucigalpa-...,,,A1,Honduras
22805,Curtiss CW-20 (C-46),SE-CFB,"Transair Sweden, op.for UN",0,Albertville ...,,,A1,D.R. Congo
22805,Lockheed 18 Lodestar,N45W,Winn-Dixie Stores,4,"Tallahassee, FL",,,A1,USA
22805,Fokker F-27 Friendship 100,VT-DMB,Indian Airlines,0,Delhi-Palam ...,,,A2,India
22809,Douglas VC-47A (DC-3),43-15568,USAF,,Lake Minchum...,,,A1,USA
22810,Ilyushin Il-14M,CCCP-91536,"Aeroflot, Lithuania",,,,,A1,?
22816,Douglas DC-3D,HB-IRB,Swissair,0,Zürich-Klote...,,,A2,Switzerland
22819,Boeing 707-328,F-BHST,Air France,113,near Pointe-à-Pit...,,,A1,Guadeloupe
22819,Lockheed 18 Lodestar,F-BKBY,CARTA,0,Creil,,,A1,France
22823,Bristol 170 Freighter 31M,S4414,Pakistan AF,3,near Rawalpindi,,,A1,Pakistan
22824,Curtiss C-46A,PP-BTE,Paraense Transportes Aéreos,0,Pedro Afonso...,,,A1,Brazil
22825,Douglas C-47A (DC-3),TC-EFE,THY,0,near Bandirma Air...,,,A1,Turkey
22825,Douglas C-47B (DC-3),X-11,Netherlands AF,8,Puncak Jaya,,,A1,Indonesia
22827,Douglas DC-4-1009,ZS-BMH,South African Airways,0,near Durban,,,A2,South Africa
22827,Bristol 170 Freighter 21,G-AGVC,Manx Airlines,0,Isle of Man-...,,,A1,U.K.
22827,Tupolev Tu-104A,CCCP-42370,"Aeroflot, Far East",84,"near Voznesenka, ...",,,A1,Russia
22828,Douglas C-47A (DC-3),UN-203,UN,,Tshikapa Air...,,,A1,D.R. Congo
22830,Short S.25 Sandringham 4,VH-BRE,Ansett,0,Lord Howe Is...,,,O1,Australia
22833,Canadair C-4-1 North Star,YV-C-LBV,LEBCA,0,near Caracas-Simo...,,,A1,Venezuela
22833,Ilyushin Il-14,CCCP-91554,"Aeroflot, Uzbekistan",11,near Tashkent Air...,,,A1,Uzbekistan
22834,Douglas DC-8-43,I-DIWD,Alitalia,94,near Junnar,,,A1,India
22835,Vickers 812 Viscount,N243V,Continental Air Lines,0,Amarillo-Air...,,,A1,USA
22836,Douglas DC-4-1009,OD-AEC,TMA,6,near Brindisi-Pap...,,,A1,Italy
22842,Fairchild C-123B Provider,56-4366,USAF,0,near Ban Me Thuot,,,A1,Vietnam
22842,Douglas C-47A (DC-3),VT-AUS,Indian Airlines,1,near Lahore,,,A2,Pakistan
22842,Douglas C-47 (DC-3),,Vietnam Air Force - VNAF,23,Kontum Airpo...,,,A1,Vietnam
22843,Douglas C-47 (DC-3),VT-DFZ,Kalinga Airlines,9,near Loheshyphu D...,,,A1,India
22844,Antonov An-2,CU-E802,INRA,0,"Miami, FL",,,H2,USA
22846,DH-106 Comet 4C,SU-AMW,UAA,26,Khao Yai Mou...,,,A1,Thailand
22849,Bristol 175 Britannia 314,CF-CZB,Canadian Pacific,27,Honolulu Int...,,,A1,USA
22850,Lockheed P2V Neptune,,US Navy,6+ 1,"Glynco NAS, ...",,,A1,USA
22853,Douglas C-54D (DC-4),7501,Portuguese AF,,near Las Palmas-G...,,,A1,Spain
22854,DHC-3 Otter,PI-C56,Philippine Air Lines,2,"Mutya, Misa...",,,A1,Philippines
22855,Antonov An-10A,CCCP-11186,"Aeroflot, Ukraine",81,near Adler/Sochi ...,,,A1,Georgia
22855,Fairchild C-119G Flying Boxcar,163,Republic of China AF,,"near Magong, Penghu",,,A1,Taiwan
22856,Antonov An-24,CCCP-46708,MAP Kiev MSZ,0,Ternopil Air...,,,A1,Russia
22856,Antonov An-2,YR-AND,Aviatia Utilitara,,Batanii Mici,,,A1,Romania
22856,T-39A Sabreliner,61-0661,USAF,2,Everett-Pain...,,,A1,USA
22857,Douglas DC-3A,F-BAOE,Air France,5,near Coulommiers-...,,,A1,France
22857,Douglas C-47A (DC-3),CC-CLDM,LAN Chile,0,Punta Arenas...,,,A1,Chile
22858,Lockheed P-15 Neptune (P2V-5),7001,Brazilian AF,9,"Viçosa, AL",,,A1,Brazil
22859,Douglas C-47 (DC-3),9N-AAH,Royal Nepal Airlines,10,near Tulachan Dhuri,,,A1,Nepal
22859,Lockheed C-60A Lodestar,N65H,Republic Natural Gas Co.,,"Sugar Land, TX",,,A1,USA
22859,Douglas C-47D (DC-3),43-49773,USAF,,,,,A1,Unknown country
22861,de Havilland DH-106 Comet 4,G-APDM,BOAC,0,London-Stans...,,,A2,U.K.
22864,Lockheed L-188A Electra,N6102A,American Airlines,0,Knoxville-Mc...,,,A1,USA
22865,Tupolev Tu-114D,CCCP-76479,"Aeroflot, Moscow",0,Moskva-Vnuko...,,,O1,Russia
22866,Boeing KC-135A,55-3144,USAF,3,Bedford-Hans...,,,A1,USA
22867,Lockheed WV-2 Super Constellation,141324,US Navy,5,Patuxent Riv...,,,A1,USA
22872,Boeing 720-030B,D-ABOM,Lufthansa,0,London Airpo...,,,A2,U.K.
22875,Convair CV-240-23,PK-GCE,Garuda,,Ambon,,,U1,Indonesia
22875,Howard Super Ventura,N18A,Borg-Warner Corp.,2,near Chicago-Merr...,,,A1,USA
22878,Douglas DC-8-33,PP-PDT,Panair do Brasil,15,Rio de Janei...,,,A1,Brazil
22879,Douglas C-47B (DC-3),CP-536,LAB,4,Cochabamba A...,,,A1,Bolivia
22880,Martin 4-0-4,N40401,Piedmont Airlines,0,Wilmington-N...,,,A1,USA
22881,Douglas R4D-1 (DC-3),HK-794,Líneas Aéreas Taxader,12,Barrancaberm...,,,A1,Colombia
22882,Douglas C-47B (DC-3),OB-PBN-659,Faucett,7,Cerro Puena Paz,,,A1,Peru
22883,Douglas C-47A (DC-3),YU-ABH,JAT,0,Mt. Prenj,,,A1,Bosnia
22886,Vickers Valetta T.3,WJ480,RAF,3,"near Chippenham, ...",,,A1,U.K.
22888,Avro 748-105 Srs. 1,LV-HHB,Aerolineas Argentinas,1,"near Saladas, CR",,,A2,Argentina
22889,Lockheed C-121G Super Constellation,54-4057,USAF,,Oakland Inte...,,,U1,USA
22889,Curtiss C-46F,N4877V,Bird & Sons,5,near Phu Fa,,,A1,Laos
22892,Tupolev Tu-104A,CCCP-42366,"Aeroflot, Far East",86,near Khabarovsk,,,A1,Russia
22892,Lockheed P2V-7 Neptune,4628,Japanese Navy,12,"Nase, Amami",,,A1,Japan
22893,Lockheed 18 Lodestar,N1000F,Ashland Oil,13,"near Lake Milton, OH",,,A1,USA
22899,Douglas C-47A (DC-3),CP-710,Aerolineas Abaroa,4,near Alcoche,,,A1,Bolivia
22899,Boeing KC-135A,60-0352,USAF,44,"near Spokane, WA",,,A1,USA
22900,Avro 685 York I,OD-ADA,TMA,0,Azaiba Airfield,,,A1,Oman
22901,Lockheed SP-2 Neptune,,US Navy,9,"Seal Beach, CA",,,A1,USA
22907,Curtiss C-46F,N67937,"Aaxico Airlines, op.for Puerto Rican American Airlines",0,San Pedro Su...,,,A1,Honduras
22907,Ilyushin Il-14,CCCP-61628,"Aeroflot, Magadan",32,near Cherskiy Air...,,,A1,Russia
22908,Douglas C-47A (DC-3),EC-AGO,Iberia,,Tenerife-Nor...,,,U1,Spain
22909,Douglas C-47B (DC-3),UN-202,UN,2,near Kamunza-Goi,,,C1,D.R. Congo
22910,Douglas C-47A (DC-3),VT-DGX,Kalinga Airlines,8,Sela Pass,,,A1,India
22911,Martin P5B Marlin,140144,US Navy,10,Montague Isl...,,,A1,Pacific Ocean
22912,Lockheed L-1049H Super Constellatio,N6923C,Flying Tiger Line,28,"near Shannon, Ire...",,,A1,Atlantic Ocean
22914,Douglas C-47A (DC-3),T-39,Argentine AF,0,Tandil Airpo...,,,A1,Argentina
22917,Antonov An-2T,CCCP-33134,"Aeroflot, Uzbekistan",,,,,A1,?
22925,Lockheed VC-60A Lodestar,2003,Brazilian AF,0,São Paulo-Ca...,,,A1,Brazil
22928,Douglas C-47A (DC-3),CX-AGE,PLUNA,10,Montevideo-C...,,,A1,Uruguay
22928,Avia 14(M),CCCP-52062,"Aeroflot, Azerbaijan",,,,,A1,?
22929,Vickers 757 Viscount,CF-THA,TCAL,2,Bagotville A...,,,A2,Canada
22929,Avia 14-32A,OK-MCT,CSA,13,near Brno Turany ...,,,A1,Czech Rep.
22929,Fokker F-27 Friendship 200,EP-MRP,Iranian Government,4,near Amir Kabir Dam,,,A1,Iran
22931,Convair CV-440-62,EC-ATB,Iberia,18,near Carmona,,,A1,Spain
22931,Fokker F-27 Friendship 100,PI-C503,Philippine Air Lines,3,Manila Inter...,,,A1,Philippines
22931,Martin JRM-2 Mars,CF-LYM,Forest Industries Flying Tankers,0,Victoria Int...,,,O1,Canada
22931,Antonov An-2SKh,CCCP-05614,"Aeroflot, Uzbekistan",,,,,A1,?
22938,Antonov An-2Skh,CCCP-07976,"Aeroflot, Krasnoyarsk",,,,,A1,?
22941,Douglas DC-7CF,N285,Northwest Orient Airlines,0,near Biorka Islan...,,,A1,USA
22942,Douglas DC-3,PI-C485,Philippine Air Lines,0,Cagayan de O...,,,A1,Philippines
22942,Boeing C-135B,62-4136,USAF,7,Guantánamo N...,,,A1,Cuba
22944,Tupolev Tu-104B,CCCP-42495,"Aeroflot, Moscow",11,Moskva-Shere...,,,A1,Russia
22945,Morane Saulnier MS.760 Paris I,20/F-RABQ,French AF,3,near Bernay-en-Brie,,,A1,France
22946,Morane Saulnier MS.760B Paris II,I-SNAP,SNAM,3,Bascapè,,,A1,Italy
22948,Douglas DC-7B,N51702,Panagra,0,La Paz-El Al...,,,A1,Bolivia
22948,Fairchild C-123B Provider,56-4364,USAF,0,Dak To,,,A1,Vietnam
22948,Douglas C-47A (DC-3),0232/CTA-23,Argentine Navy,0,Bahia Aguirr...,,,A1,Argentina
22949,Morane Saulnier C-41 (MS.760 Paris),2926,Brazilian AF,3,"Nova Lima, MG",,,A1,Brazil
22951,Lockheed P-2H Neptune,140158,US Navy,0,near Johnston Isl...,,,A1,U.S. M.O. Islands
22952,Curtiss C-46F,YV-C-LBH,LEBCA,0,Carora Airpo...,,,A1,Venezuela
22957,Lockheed C-140A-LM JetStar,59-5961,USAF,5,Warner Robin...,,,A1,USA
22960,Douglas C-47B (DC-3),XV-NID,Air Vietnam,27,near Da Nang Airp...,,,A1,Vietnam
22966,Douglas C-54D (DC-4),FAC-693,Colombian AF,5,"near Suárez, Tolima",,,A1,Colombia
22966,Douglas C-54A (DC-4),TC-46,Argentine AF,10,Cerro El Gaital,,,A1,Panama
22968,Antonov An-2T,CCCP-35411,"Aeroflot, Ukraine",,,,,A1,?
22969,Vickers 828 Viscount,JA8202,All Nippon,4,near Nagoya,,,A1,Japan
22971,Douglas C-47A (DC-3),43-15278,USAF,,unknown,,,A1,Unknown country
22972,Douglas C-54D (DC-4),7502,Portuguese AF,22,"São Tomé, Il...",,,A1,Sao Tome
22972,Douglas R4D-8 (Super DC-3),17188,US Navy,0,Sentinel Ridge,,,O1,Antarctica
22973,Ilyushin Il-18V,HA-MOD,Malev,21,near Paris-Le Bou...,,,A1,France
22973,Vickers 745D Viscount,N7430,United Airlines,17,near Ellicott Cit...,,,A1,USA
22975,Douglas LC-47H,50777,US Navy,0,Davis Glacier,,,A1,Antarctica
22976,Curtiss C-46A,HK-354X,La Urraca,2,Kingston,,,A1,Jamaica
22976,SAAB Scandia 90A-1,PP-SRA,VASP,23,"near Paraibuna, SP",,,A1,Brazil
22976,Lockheed C-130A Hercules,56-0488,USAF,5,Smyrna-Sewar...,,,A1,USA
22977,Boeing 707-441,PP-VJB,Varig,97,near Lima-Callao ...,,,A1,Peru
22977,Fairchild C-123B Provider,N5004X,Air America,2,near Xieng Khouang,,,C1,Laos
22979,Ilyushin Il-18V,CCCP-75843,"Aeroflot, Moscow",,,,,A1,Russia
22980,Douglas DC-7B,N815D,Eastern Air Lines,25,New York-Idl...,,,A1,USA
22984,Lockheed C-121G Super Constellation,54-4066,USAF,3,near Guam-Agana N...,,,A1,Guam
22986,Douglas C-47A (DC-3),CP-695,Aerolineas Abaroa,,Uncia,,,U1,Bolivia
22986,Douglas C-47 (DC-3),HK-437,Líneas Aéreas Taxader,24,near Barrancabermeja,,,A1,Colombia
22990,Douglas C-47A (DC-3),TA-33,Argentine AF,0,Ellsworth St...,,,A1,Antarctica
22990,Boeing KC-97G Stratofreighter,52-2685,USAF,1,near Mistassini L...,,,A1,Canada
22994,Lockheed L-049 Constellation,PP-PDE,Panair do Brasil,50,near Paraná da Ev...,,,A1,Brazil
22994,Lockheed L-1049H Super Constellatio,N6913C,Flying Tiger Line,5+ 3,near Hollywood-Lo...,,,A1,USA
22995,Douglas C-47A (DC-3),42-93086,USAF,2,near Thule Air Ba...,,,A1,Greenland
22997,Lisunov Li-2,CCCP-71259,"Aeroflot, Northern",0,Arkhangelsk-...,,,A1,Russia
22998,Lisunov Li-2,CCCP-84603,"Aeroflot, Yakutsk",4,near Olyokminsk,,,A1,Russia
22999,Vickers 804 Viscount,SP-LVB,LOT,33,near Warszawa-Oke...,,,A1,Poland
23001,Convair CV-340-31,N73130,Frontier Airlines,0,Grand Island...,,,A1,USA
23002,Convair CV-240-2,PP-VCQ,Varig,1,"near Brasilia, DF",,,A1,Brazil
23003,Antonov An-12,,Soviet AF,7,near Noril'sk-Nez...,,,A1,Russia
23006,Martin P5M-1 Marlin,127712,US Navy,13,"near San Diego, C...",,,A1,Pacific Ocean
23008,ATL-98 Carvair,G-ARSF,Channel Air Bridge,1,Rotterdam Ai...,,,A1,Netherlands
23009,Boeing S.307B-1 Stratoliner,F-BELZ,Airnautic,25,Monte Renoso...,,,A1,France
??-???-1962,Douglas C-54B (DC-4),XV-NUA,Air Vietnam,,,,,U1,Unknown country
23012,Fairchild C-119 Flying Boxcar,,Indian AF,2,Banhilal,,,A1,India
23018,Lockheed P-2H Neptune,140966,US Navy,0,"near Alameda NAS,...",,,A1,USA
23021,Lockheed P-2H Neptune,135559,US Navy,7,"Kodiak NAS, ...",,,A1,USA
23022,Curtiss C-46E,CF-HTI,Maritime Central Airways,0,Moncton-Metr...,,,O1,Canada
23022,Lockheed L-749A Constellation,F-BAZM,SGAC,12,near Périllos,,,A1,France
23024,Fairchild C-123B Provider,54-0589,USAF,0,Memphis Muni...,,,O1,USA
23024,Douglas DC-7,N4875C,Delta Air Lines,1,Memphis Muni...,,,A2,USA
23026,Douglas DC-6A,G-APON,Cunard Eagle Airways,0,Colombo-Katu...,,,A2,Sri Lanka
23026,Convair CV-240-0,PP-CEV,Cruzeiro do Sul,6+ 7,near São Paulo-Co...,,,A1,Brazil
23028,Fairchild F-27,N2703,West Coast Airlines,3,Great Salt L...,,,A1,USA
23028,Scottish Aviation Twin Pioneer 1,G-APLN,Bristow Helicopters,0,near Chepbeica,,,A1,Morocco
23029,Antonov An-2R,CCCP-09166,"Aeroflot, Syktyvkar",0,,,,A1,Russia
23033,Convair CV-340-59,PP-CDY,Cruzeiro do Sul,0,Parnaiba Air...,,,A1,Brazil
23033,Douglas C-54E (DC-4),6601,Portuguese AF,3,"near Las Palmas, ...",,,A1,Spain
23036,Douglas Dakota III (DC-3),G-AMJU,BUA,0,Blackpool Ai...,,,A2,U.K.
23037,Curtiss C-46F,N67933,Skyvan Airways,1,Cape Lisburn...,,,A1,USA
23040,Vickers 812 Viscount,N242V,Continental Air Lines,8,Kansas City ...,,,A1,USA
23041,Lockheed P-3A Orion,149672,US Navy,14,"near New York, NJ...",,,A1,Atlantic Ocean
23043,Vickers 754D Viscount,OD-ADE,MEA,14+ 87,Ulus Distric...,,,A1,Turkey
23043,Douglas C-47A (DC-3),CBK-28,Turkish AF,3,Ulus Distric...,,,A1,Turkey
23045,Lockheed L-1049H Super Constellatio,N9740Z,Slick Airways,4,San Francisc...,,,A1,USA
23046,Convair C-131E (CV-440),55-4758,USAF,1,near Ogden-Hill A...,,,A1,USA
23050,Vickers 708 Viscount,G-ARBY,BUA,0,London-Gatwi...,,,A2,U.K.
23050,Antonov An-10A,CCCP-11193,"Aeroflot, Komi",7,near Syktyvkar Ai...,,,A1,Russia
23054,Boeing 720-051B,N724US,Northwest Orient Airlines,43,"Everglades, FL",,,A1,USA
23056,Scottish Aviation Twin Pioneer CC.1,XN318,RAF,5,near Long Semodo,,,A1,Malaysia
23057,Nord 2501 Noratlas,45,French AF,0,Fort-Lamy Ai...,,,O1,Chad
23058,Curtiss C-46F,N616Z,Zantop,0,"Puyallup, WA",,,A1,USA
23068,Ilyushin Il-18V,CCCP-75732,"Aeroflot, Polar",10,Bukhta Yemli...,,,A1,Russia
23069,Boeing KC-135A,56-3597,USAF,7+ 2,Fairbanks-Ei...,,,A1,USA
23072,Douglas C-47B (DC-3),PI-C489,Philippine Air Lines,27,Mt. Boca,,,A1,Philippines
23073,Douglas C-47D (DC-3),43-49238,USAF,,,,,A1,Unknown country
23074,Douglas DC-3A-191,N16067,Flugtransport,0,Herzogenaura...,,,A1,Germany
23074,Douglas C-47A (DC-3),43-30655,USAF,0,Bentwaters R...,,,A1,U.K.
23075,Ilyushin Il-18V,CCCP-75765,"Aeroflot, Turkmenistan",12,Ashgabat Air...,,,A1,Turkmenistan
23083,Scottish Aviation Twin Pioneer CC.2,XM290,RAF,0,Kalimikui,,,A1,Kenya
23083,Antonov An-6,CCCP-98341,"Aeroflot, Polar",0,near Richardson L...,,,O1,Antarctica
23083,Junkers Ju-52/3m,,Portuguese AF,0,Monte Real A...,,,A1,Portugal
23083,Antonov An-6,CCCP-04342,Polyarnaya Aviatsiya,0,near Richardson L...,,,O1,Antarctica
23085,Avro 685 York C.1,OD-ACZ,TMA,4,near Karaj,,,A1,Iran
23085,Douglas DC-6B,CP-707,LAB,39,near Tacora Volcano,,,A1,Peru
23085,Douglas C-117D (DC-3),17158,US Navy,0,"Memphis NAS,...",,,A1,USA
23087,Vickers 802 Viscount,G-AOHO,BEA,0,Berlin-Tegel...,,,A2,Germany
23090,DH-106 Comet 4C,SA-R-7,Saudi Arabian Government,18,near Cuneo,,,A1,Italy
23091,Antonov An-2T,CCCP-32614,"Aeroflot, Far East",0,Nikolayevsk-...,,,A1,Russia
23097,Vickers 668 Varsity T.1,G-APAZ,"RAF, op.for Smiths Aviation",2,near Staverton Ai...,,,A1,U.K.
23099,Douglas DC-3D,9Q-CUS,Air Congo,,Kasongo Lund...,,,A1,D.R. Congo
23099,Vickers 953 Vanguard,G-APEJ,BEA,0,Dublin Airpo...,,,A2,Ireland
23100,Douglas C-47B (DC-3),I-TAVI,Itavia,8,near Sora,,,A1,Italy
23100,Fairchild C-119G Flying Boxcar,MM52-6005,Italian AF,0,Pisa-Arturo ...,,,A1,Italy
23104,Douglas C-54A (DC-4),0290/CTA-2,Argentine Navy,0,"Punta Indio, BA",,,O1,Argentina
23104,Douglas LC-47A (DC-3),0281/CTA-12,Argentine Navy,0,"Punta Indio, BA",,,O1,Argentina
23104,Antonov An-12,CCCP-11338,"Aeroflot, Polar",0,Magadan Airp...,,,A1,Russia
23105,Ilyushin Il-18,CCCP-75866,"Aeroflot, Krasnoyarsk",67,"near Urakhcha, Ry...",,,A1,Russia
23105,Grumman G-73 Mallard,CF-FLC,Hudson Bay Air Transport,0,Flin Flon Ai...,,,O1,Canada
23108,Douglas DC-6B,YK-AEB,Syrian Arab Airlines,1,Hamah,,,A1,Syria
23108,Curtiss C-46,317,Republic of China AF,9,Shuangtan Vi...,,,A1,Taiwan
23109,Vickers 806 Viscount,G-AOYS,BEA,0,near Palermo,,,A2,Italy
23109,Douglas DC-7C,PP-PDM,Panair do Brasil,0,Rio de Janei...,,,A1,Brazil
23111,Douglas C-133B Cargomaster,59-0523,USAF,9,near Fairfield-Tr...,,,A1,USA
23113,Fairchild C-123B Provider,56-4380,USAF,3+ 2,Nakhon Phanom,,,A1,Thailand
23114,Blackburn Beverley C.1,XB268,RAF,2,near El Adem RAF ...,,,A1,Libya
23114,Douglas DC-6B,OY-EAP,Sterling Airways,0,Kobenhavn-Ka...,,,A1,Denmark
23115,Vickers 759D Viscount,TF-ISU,Icelandair,12,near Oslo-Fornebu...,,,A1,Norway
23119,Scottish Aviation Twin Pioneer CC.2,XL994,RAF,8,near Bu Hafafa,,,A1,U.A.E.
23122,Douglas C-47A (DC-3),T.3-44,Spanish AF,7,near Fuerteventura,,,A1,Spain
23124,U-1A Otter (DHC-3),55-3291,US Army,3,near Masjed Soleyman,,,A1,Iran
23127,Douglas C-47 (DC-3),,USAF,9,near Albuquerque-...,,,A1,USA
23131,Douglas DC-3-201E,JA5039,All Nippon,0,Hachijo Jima...,,,A1,Japan
23132,DHC-3 Otter,JA3115,Nitto Aviation,9,Awaji-Shima,,,A1,Japan
23134,Convair CV-340-59,PP-CDW,Cruzeiro do Sul,37,near São Paulo-Co...,,,A1,Brazil
23134,Douglas DC-6B,F-BIAO,Air Afrique,55,Mt. Cameroon,,,A1,Cameroon
23136,Douglas DC-4,PP-BTR,Paraense Transportes Aéreos,0,São Paulo-Co...,,,O1,Brazil
23138,T-39A Sabreliner,61-0644,USAF,,Camp Springs...,,,U1,USA
23141,Douglas DC-3 (R4D-4),JA5040,All Nippon,,Sendai,,,U1,Japan
23143,Douglas DC-3,SU-AJX,UAA,34,Az Zahweyyin,,,A1,Egypt
23145,Scottish Aviation Twin Pioneer 3,PK-GTC,Garuda,0,Wamena Airpo...,,,A1,Indonesia
23149,Tupolev Tu-104B,CCCP-42483,"Aeroflot, Northern",0,near Leningrad-Sm...,,,A1,Russia
23153,Douglas C-47B (DC-3),F-OAVR,Air Algérie,,Hassi Messao...,,,U1,Algeria
23159,Douglas VC-117A,45-2545,USAF,,,,,A1,Unknown country
23159,Lockheed L-1049G Super Constellatio,N189S,Standard Airways,0,Manhattan Mu...,,,A1,USA
23161,Convair CV-990,N5616,American Airlines,0,Newark Inter...,,,O1,USA
23162,Douglas C-47A (DC-3),42-23351,USAF,,unknown,,,O1,Unknown country
23163,Antonov An-2T,CCCP-98275,"Aeroflot, Uzbekistan",0,Urgench,,,O1,Uzbekistan
23165,Douglas DC-3 Hiper,VT-AUL,Indian Airlines,29,Sarna,,,A1,India
23165,Douglas DC-7CF,N290,Northwest Orient Airlines,101,near Annette Isla...,,,A1,Pacific Ocean
23167,Douglas DC-3-201,JA5027,All Nippon,0,Osaka-Itami ...,,,A2,Japan
23172,Douglas C-47A (DC-3),XY-ACS,Union of Burma Airways,20,Mt. Kaolokung,,,A1,China
23178,VEB 14P,YR-ILL,Tarom,31,near Békéssámson,,,A1,Hungary
23178,Douglas C-47A (DC-3),953,Chilean AF,19,near Puerto Aisen,,,A1,Chile
23178,Douglas C-47A (DC-3),43-15957,USAF,,Aurora-Lowry...,,,A1,USA
23181,Lockheed RB-69A Neptune,54-4041,Republic of China AF,14,"Linchuan, Ji...",,,C1,China
23183,Curtiss C-46A,PP-NBP,Varig,0,Brasilia Int...,,,A1,Brazil
23183,Boeing KC-135A,57-1498,USAF,1,near Springfield-...,,,A1,USA
23188,Kaiser-Frazer C-119G Flying Boxcar,CP-45/OT-CEE,Belgian AF,38,near Detmold,,,C1,Germany
23193,Douglas C-47B (DC-3),PP-VBV,Varig,15,near Passo Fundo ...,,,A1,Brazil
23193,U-1A Otter (DHC-3),58-1706,US Army,1,within Vietnam,,,A1,Vietnam
23194,Martin 4-0-4,N449A,Mohawk Airlines,7,Rochester-Mo...,,,A1,USA
23194,Douglas C-47 (DC-3),FAC-678,Colombian AF,6,Tauramena Ai...,,,A1,Colombia
23195,Douglas DC-3C,ZK-AYZ,New Zealand National Airways,23,near Mt. Ngatamah...,,,A1,New Zealand
23195,SE-210 Caravelle VI-N,LV-HGY,Aerolineas Argentinas,0,near Córdoba-Paja...,,,A1,Argentina
23201,Antonov An-2T,CCCP-01243,"Aeroflot, Yakutsk",0,"Botulu, Vily...",,,A1,Russia
23202,Douglas C-54A (DC-4),HP-382,APASA,0,near South Caicos...,,,A1,Turks & Caicos
23202,Douglas C-47B (DC-3),KN278,RCAF,3,"Pierce Lake, SK",,,A1,Canada
23205,Tupolev Tu-104B,CCCP-42492,"Aeroflot, East Siberia",33,near Irkutsk Airp...,,,A1,Russia
23207,Douglas C-47A (DC-3),5R-MAJ,Air Madagascar,6,Farafangana ...,,,A1,Madagascar
23208,Antonov An-12A,BL734,Indian AF,6,near Chandigarh A...,,,A1,India
23209,Curtiss C-46F,B-148,Air America,6,Pak Tha,,,A1,Laos
23215,Douglas C-47D (DC-3),43-48766,USAF,,,,,A1,Unknown country
23216,Antonov An-2T,CCCP-43833,"Aeroflot, Kazakstan",1,Karaganda Ai...,,,A1,Kazakhstan
23220,DH-106 Comet 4C,SU-ALD,UAA,63,near Bombay Airpo...,,,A1,India
23223,Lockheed WV-2 Super Constellation,141329,US Navy,0,Gander-RCAF ...,,,A1,Canada
23223,Douglas C-133A Cargomaster,56-2005,USAF,0,"Dover AFB, D...",,,O1,USA
23225,DH-106 Comet 4B,G-ARJN,BEA,0,Milano-Linat...,,,A2,Italy
23227,Douglas C-49E (DC-3DST-144),PP-SLL,Sadia,10,"Ibicaré, SC",,,A1,Brazil
23227,Ilyushin Il-14,MT-105,MIAT,,Zavkhan Prov...,,,A1,Mongolia
23228,Fairchild C-119 Flying Boxcar,,USAF,0,"near Spartanburg, SC",,,A1,USA
23231,Avro Shackleton MR.3,1718/K,South African AF,13,Stettynskloo...,,,A1,South Africa
23232,Consolidated PBY-6A Catalina,PT-BBP,Servicios Aerotaxi Abast do Vale,,,,,A1,Unknown country
