date,type,registration,operator,fat.,location,,pic,cat,
18364,Fairchild C-82A Packet,45-57798,USAF,0,Cornwallis I...,,,A1,Canada
18366,Vickers 610 Viking 1B,G-AIVL,BEA,0,near Hastings,,,C2,U.K.
18366,Short Sunderland GR.5,1706,South African AF,,,,,A1,South Africa
18368,Douglas C-47 (DC-3),HK-309,LANSA,2,near Pinto,,,A1,Colombia
18370,Douglas TS-62 (DC-3),CCCP-L862,"Aeroflot, East Siberia",10,near Vitim,,,A1,Russia
18371,Douglas C-47A (DC-3),VT-CGM,Bharat Airways,,Calcutta-Dum...,,,U1,India
18374,Douglas C-54D (DC-4),42-72704,USAF,35,near Tachikawa Ai...,,,A1,Japan
18376,Focke-Wulf Fw 200C-4,CCCP-N500,"GUSMP, Directorate of Polar Aviation",0,Yakutsk Airp...,,,A1,Russia
18377,Curtiss C-46,CB-51,LAB,0,Cochabamba,,,A1,Bolivia
18378,Douglas Dakota III (DC-3),KG317,RCAF,0,near Summerside A...,,,A1,Canada
18379,Douglas C-54D (DC-4),42-72597,USAF,0,"near Hartsville, SC",,,A1,USA
18379,Douglas C-47B (DC-3),45-954,USAF,2,near Leon Springs...,,,A1,USA
18384,Douglas C-47A (DC-3),F-OAFP,French High Commissioner,0,near Tenkodogo,,,A1,Burkina Faso
18385,Douglas C-47 (DC-3),HK-120,Avianca,15,near Simiatug,,,A1,Ecuador
18386,Douglas Dakota IV (DC-3),KN543,RAF,0,Habbaniya RA...,,,A1,Iraq
18386,Douglas C-47B (DC-3),45-1112,USAF,,near Fairbanks-La...,,,A1,USA
18390,Consolidated PBY-5A Catalina,A24-105,RAAF,5,near Georgetown A...,,,A1,Australia
18394,Lockheed XP2V-1 Neptune,48238,US Navy,0,"Oyster, Nort...",,,A1,USA
18398,Short S.25 Sandringham 6,LN-IAU,DNL,0,near Harstad,,,A1,Norway
18400,Douglas C-47A (DC-3),VT-CHB,Airways (India),0,Balurghat Ai...,,,A1,India
18400,Douglas C-47D,43-49496,USAF,1,Aurora-Lowry...,,,A1,USA
18400,Douglas C-47D,43-49267,USAF,0,"near Burley, ID",,,A1,USA
18405,Junkers Ju-52/3m,,Bulgarian AF,6,Mount Paskal,,,A1,Bulgaria
18407,Douglas C-47A (DC-3),HK-307,LANSA,26,near Pasto,,,A1,Colombia
18407,Grumman G-73 Mallard,N2941,Ford Motor Co.,1,Charlotte-Do...,,,A1,USA
18407,Lockheed P2V-2 Neptune,39334,US Navy,0,near Cape Flatter...,,,C1,USA
18409,Douglas C-47B (DC-3),PP-SRV,VASP,0,São Paulo-Co...,,,A1,Brazil
18409,Vickers Valetta C.1,VX497,RAF,0,Malta-Luqa A...,,,A1,Malta
18410,Curtiss C-46F,N9406H,"Regina Cargo Airlines, lsf USAF",1,near Teterboro Ai...,,,A1,USA
18413,Douglas C-47 (DC-3),PP-AVZ,Aerovias Brasil,13,"near Ilhéus, BA",,,A1,Brazil
18415,Douglas Dakota IV (DC-3),KN679,RAF,,,,,A1,Unknown country
18415,Lockheed P2V-2 Neptune,122454,US Navy,9,Quonset Poin...,,,A1,USA
18416,Avro 685 York C.1,MW164,RAF,0,Bassingbourn...,,,A1,U.K.
18419,Curtiss C-46F,N1248N,Westair Transport,28,"near Melbourne, F...",,,A1,Atlantic Ocean
18423,Douglas DC-3-178,N16030,New Tribes Mission,15,near Fonseca,,,A1,Colombia
18424,Douglas C-47D,43-48477,USAF,0+ 1,Tulsa Munici...,,,A1,USA
18426,Douglas C-47A (DC-3),LV-ACL,Aerolineas Argentinas,0,Buenos Aires...,,,A1,Argentina
18426,Douglas DC-4-1009,F-BBDE,Air France,46,near Bahrain Airp...,,,A1,Bahrain
18426,Junkers Ju-52/3m,,French AF,7,within Madagascar,,,A1,Madagascar
18428,Douglas DC-4-1009,F-BBDM,Air France,40,near Bahrain Airp...,,,A1,Bahrain
18429,Curtiss C-46F,N74170,"Pan Am, lsf USAF",0,near Merida,,,A1,Mexico
18433,Douglas C-47B (DC-3),43-48885,USAF,1,Oklahoma Cit...,,,A1,USA
