date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
7/15/1964,7,1964,Boeing 720-030B,D-ABOP,Lufthansa,3,near Ansbach,A1,Germany,Boeing ,C
7/16/1964,7,1964,Douglas DC-7B,N809D,Eastern Air Lines,0,Richmond Air...,A1,USA,Douglas ,C
7/20/1964,7,1964,Douglas DC-7B,N831D,Eastern Air Lines,0,Charlotte-Do...,A1,USA,Douglas ,C
7/21/1964,7,1964,Antonov An-2T,CCCP-32637,"Aeroflot, Krasnoyarsk",0,,A1,Russia,Antonov ,C
7/21/1964,7,1964,Lockheed P-2H Neptune,145922,US Navy,0,Norfolk NAS ...,A1,USA,Lockheed ,M
7/22/1964,7,1964,Curtiss C-46,AN-AKY,LANICA,0,near Managua Airp...,A1,Nicaragua,Curtiss ,C
7/23/1964,7,1964,Fairchild C-123B Provider,56-4383,USAF,0,Gia Vuc,A1,Vietnam,Fairchild ,M
7/26/1964,7,1964,Antonov An-2,DM-SKS,Interflug,2,near Magdeburg,A1,Germany,Antonov ,C
7/27/1964,7,1964,Curtiss C-46,6340,Republic of China AF,6,near Pingtung,A1,Taiwan,Curtiss ,M
7/27/1964,7,1964,Curtiss C-46,6331,Republic of China AF,6,near Pingtung,A1,Taiwan,Curtiss ,M
7/27/1964,7,1964,Curtiss C-46,6008,Republic of China AF,6,near Pingtung,A1,Taiwan,Curtiss ,M
7/29/1964,7,1964,Douglas C-47D (DC-3),43-49253,USAF,0,,A1,Unknown country,Douglas ,M
7/30/1964,7,1964,Fairchild C-119 Flying Boxcar,,Indian AF,4,,A1,India,Fairchild ,M
7/30/1964,7,1964,Douglas DC-7,N464,FAA,0,Washington-D...,A2,USA,Douglas ,C
8/3/1964,8,1964,Ilyushin Il-18V,CCCP-75824,"Aeroflot, Moscow",0,Magadan Airp...,A1,Russia,Ilyushin ,C
8/3/1964,8,1964,Fairchild C-82A Packet,N4829V,M&F,0,Granite Moun...,A1,USA,Fairchild ,C
8/4/1964,8,1964,Douglas C-47B (DC-3),AF-101,Zambian Air Force,0,Lundazi Dist...,O1,Zambia,Douglas ,M
8/8/1964,8,1964,Douglas C-47B (DC-3),AF-102,Zambian Air Force,0,Lundazi Dist...,O1,Zambia,Douglas ,M
8/14/1964,8,1964,CV-2B Caribou (DHC-4),62-4151,US Army,0,near Ceiba-Roosev...,A1,Puerto Rico,De Havilland Canada,M
8/16/1964,8,1964,Curtiss C-46A,PP-NMF,VASP,1,"near Belém, PA",A1,Brazil,Curtiss ,C
8/19/1964,8,1964,Douglas C-47 (DC-3),N61350,Hawthorne Nevada,0,"near Tonopah, NV",A1,USA,Douglas ,C
8/20/1964,8,1964,U-1A Otter (DHC-3),57-6117,US Army,2,Rioja area,A1,Peru,De Havilland Canada,M
8/20/1964,8,1964,BAC One-Eleven 201AC,G-ASJD,BAC,0,near Tilshead,A2,U.K.,BAC ,C
8/21/1964,8,1964,Curtiss C-46D,51-1121,JASDF,0,Okayama Airp...,A1,Japan,Curtiss ,C
8/22/1964,8,1964,Douglas C-47A (DC-3),CP-680,S.A.Cochabamba,4,near Tipuani,A1,Bolivia,Douglas ,C
8/22/1964,8,1964,Avia 14T,3148,Czechoslovak AF,10,Hurka,A1,Czech Rep.,Avia ,M
8/23/1964,8,1964,Lockheed WC-121N Super Constellatio,137891,US Navy,0,near Puerto Rico,A1,Puerto Rico,Lockheed ,M
8/25/1964,8,1964,Vickers Varsity T.1,WF329,RAF,2,near Topcliffe RA...,A1,U.K.,Vickers ,M
8/27/1964,8,1964,Canadair DC-4M2 North Star,CF-TFJ,LEBCA,0,Miami Intern...,O1,USA,Canadair ,C
8/27/1964,8,1964,Canadair DC-4M2 North Star,CF-TFQ,Keegan Aviation,0,Miami Intern...,O1,USA,Canadair ,C
8/27/1964,8,1964,Canadair DC-4M2 North Star,YV-C-LBU,LEBCA,0,Miami Intern...,O1,USA,Canadair ,C
8/27/1964,8,1964,Curtiss C-46F,N4876V,Argonaut Airways,0,Miami Intern...,O1,USA,Curtiss ,C
8/27/1964,8,1964,Curtiss C-46A,N9903F,Airlift Int.,0,Miami Intern...,O1,USA,Curtiss ,C
8/27/1964,8,1964,Curtiss C-46F,N1823M,Airlift Int.,0,Miami Intern...,O1,USA,Curtiss ,C
8/27/1964,8,1964,Douglas C-47B (DC-3),N34963,Boreas,0,Miami Intern...,O1,USA,Douglas ,C
8/27/1964,8,1964,Douglas C-124C Globemaster II,50-114,USAF,0,Homer Airpor...,U1,USA,Douglas ,M
??-AUG-1964,8,1964,Antonov An-12B,,Unknown,0,unknown,A1,Russia,Antonov ,C
9/2/1964,9,1964,Ilyushin Il-18V,CCCP-75531,"Aeroflot, Krasnoyarsk",87,near Yuzhno-Sakha...,A1,Russia,Ilyushin ,C
9/3/1964,9,1964,Lockheed L-1649A Starliner,LV-GLI,FAA,0,Phoenix-Deer...,O1,USA,Lockheed ,C
9/3/1964,9,1964,Douglas C-47D,L2-29/02?,Thai AF,28,Vaong Nong,A1,Thailand,Douglas ,M
9/3/1964,9,1964,Lockheed C-130B Hercules,T-1307,Indonesian AF,55,Karimata Strait,A1,Malaysia,Lockheed ,M
9/4/1964,9,1964,Vickers 701C Viscount,PP-SRR,VASP,39,near Nova Friburg...,A1,Brazil,Vickers ,C
9/7/1964,9,1964,Douglas SC-47D (DC-3),T.3-38,Spanish AF,0,,U1,Unknown country,Douglas ,M
9/8/1964,9,1964,Lockheed SP-2E Neptune,131513,US Navy,5,near Vietnam coas...,A1,Pacific Ocean,Lockheed ,M
9/11/1964,9,1964,Scottish Aviation Twin Pioneer CC.1,XP294,RAF,0,Bario Airpor...,A1,Malaysia,Scottish ,M
9/13/1964,9,1964,Fokker F-27 Friendship 200,HB-AAI,Balair,0,Málaga Airpo...,A1,Spain,Fokker ,C
9/15/1964,9,1964,Douglas C-47A (DC-3),HK-319,Avianca,2,near Condoto,A1,Colombia,Douglas ,C
9/15/1964,9,1964,Douglas C-47 (DC-3),FAC-667,SATENA,0,Puerto Rico ...,A1,Colombia,Douglas ,C
9/16/1964,9,1964,Antonov An-8RU,CCCP-55517?,Unknown,0,Kiev-Gostome...,A1,Ukraine,Antonov ,C
9/16/1964,9,1964,Scottish Aviation Twin Pioneer CC.1,XM943,RAF,0,Manawa,A1,Yemen,Scottish ,M
9/17/1964,9,1964,Antonov An-2S,DM-SKH,Interflug,0,near Hanstedt II,H2,Germany,Antonov ,C
9/20/1964,9,1964,Scottish Aviation Twin Pioneer 2,XW-PBO,Bird & Sons,0,Muang Hein (...,A1,Laos,Scottish ,C
9/22/1964,9,1964,Douglas C-47A (DC-3),N1549V,Caribair,0,San Juan-Isl...,A2,Puerto Rico,Douglas ,C
9/28/1964,9,1964,Douglas DC-7C,G-ASID,Caledonian Airways,0,Istanbul,A1,Turkey,Douglas ,C
9/29/1964,9,1964,Douglas C-47 (DC-3),G-AOFZ,BMA,0,Guernsey Air...,A2,U.K.,Douglas ,C
9/30/1964,9,1964,Douglas C-47 (DC-3),,Iran AF,1,Shiraz Airpo...,A1,Iran,Douglas ,M
10/2/1964,10,1964,Douglas DC-6B,F-BHMS,UTA,80,Mt Alcazaba,A1,Spain,Douglas ,C
10/2/1964,10,1964,Douglas C-54A (DC-4),YK-ADA,Syrian Arab Airlines,0,Damascus Air...,A1,Syria,Douglas ,C
10/2/1964,10,1964,Lockheed L-749A-79 Constellation,LX-IOK,Interocean,1,Addis Ababa-...,A1,Ethiopia,Lockheed ,C
10/2/1964,10,1964,Steward-Davis Super Catalina (PBY-5,N4936V,Alaska Coastal-Ellis Airlines,1,"Otter Lake, ...",A1,USA,Steward-Davis ,C
10/6/1964,10,1964,Vickers 951 Vanguard,G-APEE,BEA,0,Glasgow-Renf...,A2,U.K.,Vickers ,C
10/9/1964,10,1964,Ilyushin Il-14P,YR-ILB,Tarom,31,near Cugir,A1,Romania,Ilyushin ,C
10/13/1964,10,1964,Lisunov Li-2,CCCP-04370,"Aeroflot, Polar",0,near Cape Khorgoy,A1,Russia,Lisunov ,C
10/14/1964,10,1964,Douglas C-47A (DC-3),G-AGJV,BMA,0,Derby Airport,A2,U.K.,Douglas ,C
10/15/1964,10,1964,Fokker F-27 Friendship 100,VT-DOL,Indian Airlines,0,Madras Airpo...,A2,India,Fokker ,C
10/16/1964,10,1964,Antonov An-12B,T-1202,Indonesian AF,13,near Palembang,A1,Indonesia,Antonov ,M
10/19/1964,10,1964,Ilyushin Il-18V,CCCP-75668,Soviet AF,33,Mount Avala,A1,Serbia,Ilyushin ,M
10/22/1964,10,1964,Fairchild C-119G Flying Boxcar,MM52-6041,Italian AF,0,Châteauroux ...,A2,France,Fairchild ,M
10/22/1964,10,1964,Douglas LC-47H,12407,US Navy,0,Lillie Glacier,A1,Antarctica,Douglas ,M
10/24/1964,10,1964,Fairchild C-123B Provider,55-4549,USAF,8,near Phumi Dak Dam,C1,Cambodia,Fairchild ,M
10/24/1964,10,1964,Antonov An-2,CCCP-01231,"Aeroflot, Far East",2,near Nikolayevsk-...,A1,Russia,Antonov ,C
10/31/1964,10,1964,CV-2B Caribou (DHC-4),63-9736,US Army,3,"near Augusta, GA",A1,USA,De Havilland Canada,M
10/31/1964,10,1964,CV-2B Caribou (DHC-4),63-9749,US Army,3,"near Augusta, GA",A1,USA,De Havilland Canada,M
11/1/1964,11,1964,Fairchild C-123B Provider,56-4355,USAF,0,near Magong,A1,Taiwan,Fairchild ,M
11/3/1964,11,1964,Lockheed C-121J Super Constellation,131625,US Navy,0,Patuxent Riv...,A1,USA,Lockheed ,M
11/5/1964,11,1964,Boeing KC-97,,USAF,5,near Portsmouth-P...,A1,USA,Boeing ,M
11/5/1964,11,1964,DH-106 Comet 4B,G-APMD,BEA,0,Málaga Airpo...,A2,Spain,De Havilland,C
11/7/1964,11,1964,Douglas C-133A Cargomaster,56-2014,USAF,7,near Goose Bay Ai...,A1,Canada,Douglas ,M
11/7/1964,11,1964,Fairchild C-82A Packet,N74127,Steward-Davis,2,"near Perote, Vera...",A1,Mexico,Fairchild ,C
11/9/1964,11,1964,Curtiss C-46D,HK-400,Aerocondor de Colombia,0,Barranquilla...,A1,Colombia,Curtiss ,C
11/9/1964,11,1964,Antonov An-2SX,CCCP-43915,"Aeroflot, Moldova",4,near Gavanoasa,A1,Moldova,Antonov ,C
11/11/1964,11,1964,Lockheed P2V-6M Neptune,134663,French Navy,10,Heraklion Ai...,A1,Greece,Lockheed ,M
11/12/1964,11,1964,Lockheed 18 Lodestar,N171Q,Private,4,Freeport-Gra...,A1,Bahamas,Lockheed ,C
11/15/1964,11,1964,Fairchild F-27A,N745L,Bonanza Air Lines,29,"near Las Vegas, NV",A1,USA,Fairchild ,C
11/17/1964,11,1964,Lockheed P-3A Orion,151362,US Navy,10,near Argentia-NAS...,A1,Canada,Lockheed ,M
11/18/1964,11,1964,DHC-4A Caribou,A4-185,RAAF,0,A Ro,A1,Vietnam,De Havilland Canada,M
11/18/1964,11,1964,Antonov An-2V,CCCP-09275,"Aeroflot, Northern",1,near Murmansk Air...,A1,Russia,Antonov ,C
11/20/1964,11,1964,Convair CV-440,SE-CCK,Linjeflyg,31,near Helsingborg-...,A1,Sweden,Convair ,C
11/20/1964,11,1964,Curtiss C-46F,N3971B,"Zantop, lsf Aaxico Airlines",0,Detroit-Metr...,A1,USA,Curtiss ,C
11/21/1964,11,1964,Douglas DC-3A,CF-GOC,Eastern Provincial Airways,0,Lourdes-de-B...,A1,Canada,Douglas ,C
11/23/1964,11,1964,Boeing 707-331,N769TW,TWA,50,Roma-Fiumici...,A1,Italy,Boeing ,C
11/24/1964,11,1964,Curtiss C-46A,CC-CIB,ALFA,0,Santiago-Los...,A1,Chile,Curtiss ,C
11/24/1964,11,1964,Curtiss C-46R,N9885F,Delta Air Lines,0,"Baton Rouge, LA",A1,USA,Curtiss ,C
11/24/1964,11,1964,Nord 2501D Noratlas,GB+104,German AF,4,near Ahlhorn Air ...,A1,Germany,Nord ,M
11/26/1964,11,1964,Douglas C-48B (DC-3),PP-SQP,VASP,0,São Paulo-Co...,O1,Brazil,Douglas ,C
11/27/1964,11,1964,Lockheed P-2H Neptune,135610,US Navy,12,near Cape Newenha...,A1,USA,Lockheed ,M
11/28/1964,11,1964,Ilyushin Il-14P,CCCP-41883,"Aeroflot, Georgia",7,near Surami,A1,Georgia,Ilyushin ,C
11/29/1964,11,1964,Douglas DC-4,OO-DEP,Air Congo,6,Léopoldville...,A1,D.R. Congo,Douglas ,C
11/30/1964,11,1964,Curtiss C-46D,51-1107,JASDF,0,Tokyo-Haneda...,A1,Japan,Curtiss ,C
12/4/1964,12,1964,Lockheed P-3A Orion,150508,US Navy,13,near Luzon Island...,A1,Pacific Ocean,Lockheed ,M
12/8/1964,12,1964,Douglas C-47 (DC-3),CP-639,Aerolineas Abaroa,17,near Milluni,C1,Bolivia,Douglas ,C
12/9/1964,12,1964,Morane Saulnier (FMA) MS.760 Paris,E-231,Argentine AF,2,"Córdoba, CD",A1,Argentina,Morane ,M
12/11/1964,12,1964,DH-125-1,G-ARYC,Hawker Siddeley,0,Filton Airpo...,A2,U.K.,De Havilland,C
12/16/1964,12,1964,Vickers Valetta C.1,VW182,RAF,0,Labuan RAF S...,A1,Malaysia,Vickers ,M
12/19/1964,12,1964,Fairchild C-82A Packet,N128E,John W. Mecom Oil Co.,2,near Alexandria,C1,Egypt,Fairchild ,C
12/19/1964,12,1964,Boeing KC-97G Stratofreighter,52-907,USAF,5,near Stephenville...,A1,Canada,Boeing ,M
12/21/1964,12,1964,Douglas C-47A (DC-3),PI-C569,Fleming,1,Numancia Aklan,A1,Philippines,Douglas ,C
12/24/1964,12,1964,Lockheed L-1049H Super Constellatio,N6915C,Flying Tiger Line,3,near San Francisc...,A1,USA,Lockheed ,C
12/24/1964,12,1964,Douglas C-47B (DC-3),OB-R-654,SATCO,1,Yurimaguas A...,A1,Peru,Douglas ,C
12/28/1964,12,1964,DHC-3 Otter,VP-FAJ,British Antarctic Survey,0,Adelaide Base,A1,Antarctica,De Havilland Canada,C
12/28/1964,12,1964,Fairchild C-123 Provider,,USAF,4,"near Phoenix, AZ",A1,USA,Fairchild ,M
12/29/1964,12,1964,Curtiss C-46,CC-CAN,LASA,6,near Turrialba,A1,Costa Rica,Curtiss ,C
12/29/1964,12,1964,DHC-3 Otter,,Indian AF,0,River Pasighat,A1,India,De Havilland Canada,M
12/30/1964,12,1964,Curtiss C-46A,N608Z,Zantop,4,near Detroit-Metr...,A1,USA,Curtiss ,C
??-???-1964,,1964,Lisunov Li-2P,SP-LKC,LOT,0,,U1,Poland,Lisunov ,C
??-???-1964,,1964,Vickers 626 Viking C Mk. 2,XB-FIP,private,0,,A1,Mexico,Vickers ,C
??-???-1964,,1964,Douglas DC-3A-269B,T-25,TAM Paraguay,0,Encarnación-...,U1,Paraguay,Douglas ,C
??-???-1964,,1964,Nord 2501D Noratlas,4X-FAB/042,Israeli AF,0,,U1,Israel,Nord ,M
??-???-1964,,1964,Lockheed P-2H Neptune,145913,US Navy,0,"Kodiak NAS, ...",A1,USA,Lockheed ,M
??-???-1964,,1964,Douglas Dakota III (DC-3),KJ981,RAF,0,Bentwaters R...,U1,U.K.,Douglas ,M
1/2/1965,1,1965,Lisunov Li-2,CCCP-63842,"Aeroflot, Turkmenistan",24,near Darvaza Airport,A1,Turkmenistan,Lisunov ,C
1/4/1965,1,1965,Boeing KC-135A,61-0265,USAF,4,near Limestone-Lo...,A1,USA,Boeing ,M
1/4/1965,1,1965,Ilyushin Il-18B,CCCP-75685,"Aeroflot, Kazakstan",64,Alma-Ata Air...,A1,Kazakhstan,Ilyushin ,C
1/9/1965,1,1965,DHC-3 Otter,PK-PHB,Pelita Air Service,0,,U1,Unknown country,De Havilland Canada,C
1/11/1965,1,1965,Lockheed C-130B Hercules,58-0719,USAF,0,Topeka-Forbe...,A1,USA,Lockheed ,M
1/11/1965,1,1965,Lockheed C-130B Hercules,58-0730,USAF,0,Topeka-Forbe...,O1,USA,Lockheed ,M
1/11/1965,1,1965,Douglas C-133A Cargomaster,54-0140,USAF,6,near Wake Island ...,A1,U.S. M.O. Islands,Douglas ,M
1/11/1965,1,1965,Douglas LC-47J,50778,US Navy,0,Shackleton G...,A1,Antarctica,Douglas ,M
1/14/1965,1,1965,Lockheed 18 Learstar I,N512V,Burroughs Corp.,2,Detroit-Will...,A1,USA,Lockheed ,C
1/14/1965,1,1965,Douglas C-47B (DC-3),CBK-04,Turkish AF,1,Istanbul-Yes...,U1,Turkey,Douglas ,M
1/15/1965,1,1965,Douglas C-47B (DC-3),PP-SPU,VASP,0,Santa Isabel...,A1,Brazil,Douglas ,C
1/16/1965,1,1965,Boeing KC-135A,57-1442,USAF,29,near Wichita-McCo...,A1,USA,Boeing ,M
1/16/1965,1,1965,Fairchild C-82A Packet,N208M,Interior Airways,0,"near Beaver, Yuko...",A1,USA,Fairchild ,C
1/21/1965,1,1965,Douglas C-47A (DC-3),42-108889,USAF,0,unknown,A1,Unknown country,Douglas ,M
1/21/1965,1,1965,Douglas C-53 (DC-3),PI-C945,Filipinas Orient Airways,0,San Jose Air...,A1,Philippines,Douglas ,C
1/22/1965,1,1965,Douglas C-53-DO (DC-3),PP-PEE,Panair do Brasil,0,"Porto Velho, RO",A1,Brazil,Douglas ,C
1/22/1965,1,1965,Douglas C-124C Globemaster II,52-1058,USAF,10,Mount Helmos,A1,Greece,Douglas ,M
1/23/1965,1,1965,Lockheed SP-2H Neptune,212,Dutch Navy,2,near Katwijk,A1,Netherlands,Lockheed ,M
2/2/1965,2,1965,Antonov An-2R,CCCP-45218,"Aeroflot, Belarus",0,,A1,Unknown country,Antonov ,C
2/2/1965,2,1965,Douglas C-47D (DC-3),45-938,USAF,0,,A1,Unknown country,Douglas ,M
2/3/1965,2,1965,Curtiss C-46A,F-OAFI,Air Cameroun,4,Garoua Airpo...,A1,Cameroon,Curtiss ,C
2/5/1965,2,1965,Antonov An-2,CCCP-07914,Krasnokutske Flight School,8,near Goretskoye A...,A1,Russia,Antonov ,C
2/5/1965,2,1965,Douglas TC-47D (DC-3),43-49903,USAF,0,Far East,A1,Unknown country,Douglas ,M
2/6/1965,2,1965,Douglas DC-6B,CC-CCG,LAN Chile,87,near San José Vol...,A1,Chile,Douglas ,C
2/8/1965,2,1965,Douglas DC-7B,N849D,Eastern Air Lines,84,"near Jones Beach, NY",A1,USA,Douglas ,C
2/8/1965,2,1965,Douglas DC-7C,SE-CCC,SAS,0,Tenerife-Los...,A1,Spain,Douglas ,C
2/8/1965,2,1965,Vickers 635 Viking 1B,F-BJEQ,Airnautic,0,Calvi Airpor...,A1,France,Vickers ,C
2/12/1965,2,1965,Grumman G-73 Mallard,N2940,Jack Adams Aircraft Sales,0,"Lake Hefner, OK",A2,USA,Grumman ,M
2/13/1965,2,1965,Curtiss C-46A,YS-012C,AESA,2,"Miami, FL",A1,USA,Curtiss ,C
2/14/1965,2,1965,Douglas DC-3 (R4D-1),JA5080,All Nippon,2,Mount Nakanoone,A1,Japan,Douglas ,C
2/15/1965,2,1965,Vickers 782D Viscount,EP-AHC,Iran Air,0,Isfahan Airp...,A1,Iran,Vickers ,C
2/17/1965,2,1965,Douglas Dakota IV (DC-3),G-ANTD,BMA,0,Leeds/Bradfo...,A2,U.K.,Douglas ,C
2/20/1965,2,1965,Douglas C-47A (DC-3),YU-ACB,JAT,5,near Belgrade,A1,Serbia,Douglas ,C
2/25/1965,2,1965,Ilyushin Il-62,CCCP-06156,Ilyushin,10,Moskva-Zhuko...,A1,Russia,Ilyushin ,C
2/26/1965,2,1965,Boeing KC-135A,63-8882,USAF,4,"near Cape Race, N...",A1,Atlantic Ocean,Boeing ,M
2/27/1965,2,1965,Convair CV-880,JA8023,JAL,0,Iki Airport ...,A1,Japan,Convair ,C
3/3/1965,3,1965,Vickers 701C Viscount,PP-SRQ,VASP,0,Rio de Janei...,A1,Brazil,Vickers ,C
3/3/1965,3,1965,Douglas Dakota 4 (DC-3),G-AMHJ,Morton Air Services,0,Zürich-Klote...,A2,Switzerland,Douglas ,C
3/4/1965,3,1965,Vickers Varsity T.1,WL680,RAF,0,near Louth,A1,U.K.,Vickers ,M
3/5/1965,3,1965,Lockheed 18 Lodestar,N600N,Pine Paper Products Co.,2,Philipsburg-...,A1,USA,Lockheed ,C
3/5/1965,3,1965,Lockheed 18 Learstar I,N300N,Fruehauf,2,Miami Intern...,A1,USA,Lockheed ,C
3/5/1965,3,1965,Grumman HU-16B Albatross,1264,Thai Navy,11,Luang Sun Mo...,A1,Taiwan,Grumman ,M
3/6/1965,3,1965,DHC-4A Caribou,A4-202,RAAF,0,Porgera Airp...,A1,P.N. Guinea,De Havilland Canada,M
3/7/1965,3,1965,Vickers 802 Viscount,G-AOHT,BEA,0,London-Heath...,A2,U.K.,Vickers ,C
3/8/1965,3,1965,Douglas DC-3A,PI-C948,Filipinas Orient Airways,10,Mt Tangcong ...,A1,Philippines,Douglas ,C
3/8/1965,3,1965,Tupolev Tu-124V,CCCP-45028,"Aeroflot, Privolzhsk",30,near Kuybyshev Ai...,A1,Russia,Tupolev ,C
3/8/1965,3,1965,Ilyushin Il-18B,CCCP-75690,"Aeroflot, Kyrgyzstan",0,Frunze Airpo...,A2,Kyrgyzstan,Ilyushin ,C
3/11/1965,3,1965,Douglas C-47 (DC-3),HK-153,Avianca,0,Bucaramanga-...,A1,Colombia,Douglas ,C
3/13/1965,3,1965,Douglas C-47A (DC-3),43-16072,USAF,0,unknown,A1,Unknown country,Douglas ,M
3/16/1965,3,1965,Douglas C-47A (DC-3),CF-PQG,Canadian DoT,0,Lourdes-de-B...,A1,Canada,Douglas ,C
3/17/1965,3,1965,Fokker F-27 Friendship 200,VH-FNH,Ansett-ANA,0,Launceston A...,A1,Australia,Fokker ,C
3/17/1965,3,1965,Handley Page HPR-7 Herald 202,CF-NAF,Eastern Provincial Airways,8,Upper Musquo...,A1,Canada,Handley ,C
3/18/1965,3,1965,Curtiss C-46F,OB-R-577,SATCO,9,Cerro Saguan...,A1,Peru,Curtiss ,C
3/18/1965,3,1965,Douglas C-47A (DC-3),N4997E,Miami Aviation,2,"near Waterville, NL",A1,Canada,Douglas ,C
3/19/1965,3,1965,Vickers 773 Viscount,YI-ACU,Iraqi Airways,0,Cairo Intern...,A1,Egypt,Vickers ,C
3/20/1965,3,1965,Antonov An-24,CCCP-46764,"Aeroflot, Uralsk",43,Khanty-Mansi...,A1,Russia,Antonov ,C
3/21/1965,3,1965,Hawker Siddeley HS-748,G-ATAM,BKS Air Transport,0,Leeds/Bradfo...,A2,U.K.,Hawker ,C
3/22/1965,3,1965,Douglas C-47 (DC-3),HK-109,Avianca,29,Pan de Azuca...,A1,Colombia,Douglas ,C
3/23/1965,3,1965,Canadair CP-107 Argus Mk.2,20727,RCAF,16,near Puerto Rico,A1,Atlantic Ocean,Canadair ,M
3/24/1965,3,1965,Curtiss C-46D,PP-BTP,Paraense Transportes Aéreos,0,Rio Branco A...,A1,Brazil,Curtiss ,C
3/24/1965,3,1965,Douglas C-124C Globemaster II,52-1075,USAF,6,"near Cordova, MD",A1,USA,Douglas ,M
3/25/1965,3,1965,T-39A Sabreliner,62-4458,USAF,2,near Angeles City...,A1,Philippines,Sabreliner,M
3/25/1965,3,1965,Lockheed C-130E Hercules,63-7797,USAF,7,Alençon,A1,France,Lockheed ,M
3/25/1965,3,1965,Douglas C-47 (DC-3),,USAF,5,near Angeles City...,A1,Philippines,Douglas ,M
3/25/1965,3,1965,Hawker Siddeley HS-748,G-ASPL,BKS Air Transport,0,Leeds/Bradfo...,A2,U.K.,Hawker ,C
3/25/1965,3,1965,Douglas Dakota 4 (DC-3),G-AMSH,BKS Air Transport,0,near Leeds/Bradfo...,A2,U.K.,Douglas ,C
3/26/1965,3,1965,Douglas C-47B (DC-3),VR-AAA,Aden Airways,0,Hadibo,A1,Yemen,Douglas ,C
3/26/1965,3,1965,Douglas C-47A (DC-3),AP-AAH,PIA,22,near Lowery Pass,A1,Pakistan,Douglas ,C
3/27/1965,3,1965,Lockheed L-188C Electra,ZK-TEC,TEAL,0,Whenuapai Ai...,A1,New Zealand,Lockheed ,C
3/28/1965,3,1965,Fairchild C-123B Provider,57-6292,USAF,0,Da Nang Air ...,A1,Vietnam,Fairchild ,M
3/31/1965,3,1965,Convair CV-440-62,EC-ATH,Iberia,50,near Tangier Airp...,A1,Morocco,Convair ,C
4/1/1965,4,1965,Douglas C-47 (DC-3),VH-ANJ,Victorian Air Coach Services,0,Warrnambool ...,A2,Australia,Douglas ,C
4/3/1965,4,1965,Douglas C-47A (DC-3),CF-FAJ,Eastern Provincial Airways,0,Saint Pierre...,U1,St.Pierre & Miquelon,Douglas ,C
4/5/1965,4,1965,DHC-3 Otter,IM-1727,Indian AF,4,near Tezpur,A1,India,De Havilland Canada,M
4/6/1965,4,1965,Douglas C-47 (DC-3),N150A,private,0,near Andros Island,A1,Bahamas,Douglas ,C
4/10/1965,4,1965,Handley Page HPR-7 Herald 207,JY-ACQ,Alia,54,near Damascus,A1,Syria,Handley ,C
4/10/1965,4,1965,Consolidated PBY-6A Catalina,N6455C,Liston Aircraft,2,near Klamath Fall...,A1,USA,Consolidated ,M
4/14/1965,4,1965,Douglas C-47B (DC-3),G-ANTB,BUA,26,near Jersey-State...,A1,U.K.,Douglas ,C
4/14/1965,4,1965,Douglas C-47 (DC-3),HJ218,Indian AF,9,Nagaland,A1,India,Douglas ,M
4/15/1965,4,1965,Vickers 639 Viking 1,G-AHOY,Invicta Int. Airways,0,Manston Airp...,A2,U.K.,Vickers ,C
4/16/1965,4,1965,Fairchild F-27F,N757L,Bonanza Air Lines,0,Las Vegas-Mc...,A1,USA,Fairchild ,C
4/23/1965,4,1965,Douglas DC-6A,N6541C,Aaxico Airlines,5,"Mt Rainier, WA",A1,USA,Douglas ,C
4/24/1965,4,1965,Lockheed C-130A Hercules,57-0475,USAF,6,near Korat AFB,A1,Thailand,Lockheed ,M
4/28/1965,4,1965,Lockheed EC-121K Super Constellatio,141321,US Navy,1,Keflavík Int...,O1,Iceland,Lockheed ,M
4/29/1965,4,1965,Grumman C-2A Greyhound,148147,US Navy,4,Long Island ...,A1,USA,Grumman ,M
5/3/1965,5,1965,Nord 2501 Noratlas,190/F-RABV,French AF,5,near Blond,A1,France,Nord ,M
5/5/1965,5,1965,Lockheed L-1049G Super Constellatio,EC-AIN,Iberia,30,Tenerife-Los...,A1,Spain,Lockheed ,C
5/10/1965,5,1965,Douglas DC-6A,N6579C,Aaxico Airlines,0,near Knobnoster-W...,A1,USA,Douglas ,C
5/12/1965,5,1965,MBB HFB-320 Hansa Jet,D-CHFB,HFB,1,near Madrid-Torre...,A1,Spain,MBB ,C
5/12/1965,5,1965,Fairchild C-123B Provider,55-4516,USAF,0,Hon Quan,A1,Vietnam,Fairchild ,M
5/12/1965,5,1965,Douglas C-47A (DC-3),965,Chilean AF,0,near Mendoza-El P...,A1,Argentina,Douglas ,M
5/13/1965,5,1965,Nord 2501D Noratlas,GB+239,German AF,0,near Hopsten AB,A2,Germany,Nord ,M
5/16/1965,5,1965,CV-2B Caribou (DHC-4),62-4164,US Army,0,Tra My,A1,Vietnam,De Havilland Canada,M
5/16/1965,5,1965,Boeing 707-436,G-APFL,BOAC,0,Tehran-Mehra...,A2,Iran,Boeing ,C
5/19/1965,5,1965,Douglas C-47 (DC-3),YV-C-LBO,LEBCA,0,near Angel Falls,A1,Venezuela,Douglas ,C
5/20/1965,5,1965,Boeing 720-040B,AP-AMH,PIA,121,near Cairo Intern...,A1,Egypt,Boeing ,C
5/29/1965,5,1965,Douglas C-47A (DC-3),N91016,Reeve Aleutian Airways,0,Nikolski Air...,A1,USA,Douglas ,C
